"TaxaID","genome_composition","serotype","genotype"
1332145,"I: dsDNA","",""
743571,"I: dsDNA","",""
1402875,"I: dsDNA","",""
1871314,"I: dsDNA","",""
754041,"I: dsDNA","",""
2508090,"I: dsDNA","",""
1983784,"I: dsDNA","",""
913183,"I: dsDNA","",""
756277,"I: dsDNA","",""
2740805,"I: dsDNA","",""
2079544,"I: dsDNA","",""
1548908,"I: dsDNA","",""
1527525,"I: dsDNA","",""
1548902,"I: dsDNA","",""
1640972,"I: dsDNA","",""
386792,"I: dsDNA","",""
484896,"I: dsDNA","",""
1262514,"I: dsDNA","",""
1225790,"I: dsDNA","",""
1815956,"I: dsDNA","",""
1962679,"I: dsDNA","",""
1327768,"I: dsDNA","",""
496396,"I: dsDNA","",""
476523,"I: dsDNA","",""
1141525,"I: dsDNA","",""
2483418,"I: dsDNA","",""
627480,"I: dsDNA","",""
204270,"I: dsDNA","",""
2161784,"I: dsDNA","",""
386793,"I: dsDNA","",""
693582,"I: dsDNA","",""
1465639,"I: dsDNA","",""
881915,"I: dsDNA","",""
382262,"I: dsDNA","",""
756276,"I: dsDNA","",""
2024607,"I: dsDNA","",""
2041472,"I: dsDNA","",""
2041473,"I: dsDNA","",""
2419783,"I: dsDNA","",""
641832,"I: dsDNA","",""
1141132,"I: dsDNA","",""
2420320,"I: dsDNA","",""
2163976,"I: dsDNA","",""
1675027,"I: dsDNA","",""
1747286,"I: dsDNA","",""
2507411,"I: dsDNA","",""
1712539,"I: dsDNA","",""
1264737,"I: dsDNA","",""
2081603,"I: dsDNA","",""
1206556,"I: dsDNA","",""
1932893,"I: dsDNA","",""
1206559,"I: dsDNA","",""
1897743,"I: dsDNA","",""
2488835,"I: dsDNA","",""
1837877,"I: dsDNA","",""
1560283,"I: dsDNA","",""
1560284,"I: dsDNA","",""
1636249,"I: dsDNA","",""
1217810,"I: dsDNA","",""
2070198,"I: dsDNA","",""
418443,"I: dsDNA","",""
925983,"I: dsDNA","",""
925985,"I: dsDNA","",""
1542498,"I: dsDNA","",""
2079275,"I: dsDNA","",""
2315628,"I: dsDNA","",""
1873778,"I: dsDNA","",""
1141139,"I: dsDNA","",""
187764,"I: dsDNA","",""
2681604,"I: dsDNA","",""
2679891,"I: dsDNA","",""
2053697,"I: dsDNA","",""
1933107,"I: dsDNA","",""
1933108,"I: dsDNA","",""
1933111,"I: dsDNA","",""
2047761,"I: dsDNA","",""
1543201,"I: dsDNA","",""
2907955,"I: dsDNA","",""
979726,"I: dsDNA","",""
1852562,"I: dsDNA","",""
2740800,"I: dsDNA","",""
2740804,"I: dsDNA","",""
1432428,"I: dsDNA","",""
1437328,"I: dsDNA","",""
1673729,"I: dsDNA","",""
1437329,"I: dsDNA","",""
1958965,"I: dsDNA","",""
551790,"I: dsDNA","",""
2060091,"I: dsDNA","",""
1401297,"I: dsDNA","",""
1481785,"I: dsDNA","",""
1538364,"I: dsDNA","",""
1932892,"I: dsDNA","",""
1220601,"I: dsDNA","",""
743565,"I: dsDNA","",""
1527771,"I: dsDNA","",""
2740802,"I: dsDNA","",""
743543,"I: dsDNA","",""
1283079,"I: dsDNA","",""
2741075,"I: dsDNA","",""
1701809,"I: dsDNA","",""
1647385,"I: dsDNA","",""
743558,"I: dsDNA","",""
2079290,"I: dsDNA","",""
754059,"I: dsDNA","",""
743578,"I: dsDNA","",""
1775250,"I: dsDNA","",""
2024237,"I: dsDNA","",""
