"Species","Acronyms","Other.Acronyms","Other.Names"
"Cracticus torquatus polyomavirus 1","CtorPyV","ButcherbirdPyV","Butcherbird polyomavirus"
"Pygoscelis adeliae polyomavirus 1","PadePyV","AdPyV","Adélie penguin polyomavirus"
"Pyrrhula pyrrhula polyomavirus 1","PpyrPyV","FPyV","Finch polyomavirus"
"Serinus canaria polyomavirus 1","ScanPyV","CaPyV","Canary polyomavirus"
"Bos taurus polyomavirus 1","BtorPyV","BPyV, -, -","Bovine polyomavirus, Stump-tailed macaques virus, Fetal rhesus kidney virus"
"Centropristis striata polyomavirus 1","CstriPyV","BassPyV-1","Black sea bass-associated polyomavirus 1"
"Delphinus delphis polyomavirus 1","DdelPyV","DpYV-1","Dolphin polyomavirus"
"Canarypox virus","CNPV","CNPV","Canary pox virus"
"Fowlpox virus","FWPV","FWPV","Fowl pox virus"
"Juncopox virus","JNPV","JNPV","Junco pox virus"
"Mynahpox virus","MYPV","MYPV","Mynah pox virus"
"Pigeonpox virus","PGPV","PGPV","Pigeon pox virus"
"Psittacinepox virus","PSPV","PSPV","Psittacine pox virus"
"Quailpox virus","QUPV","QUPV","Quail pox virus"
"Sparrowpox virus","SRPV","SRPV","Sparrow pox virus"
"Starlingpox virus","SLPV","SLPV","Starling pox virus"
"Turkeypox virus","TKPV","TKPV","Turkey pox virus"
"Goatpox virus","GTPV",NA,NA
"Lumpy skin disease virus","LSPV",NA,NA
"Sheeppox virus","SPPV",NA,NA
"Yokapox virus","YKV",NA,NA
"Mule deerpox virus","DPV",NA,NA
"Nile crocodilepox virus","NCRV","CRV","Crocodilepoxvirus"
"Hare fibroma virus","FIBV",NA,NA
"Myxoma virus","MYXV",NA,NA
"Rabbit fibroma virus","RbFV","SFV","Shope fibroma virus"
"Squirrel fibroma virus","SQFV",NA,NA
"Molluscum contagiosum virus","MOCV",NA,NA
"Camelpox virus","CMLV",NA,NA
"Cowpox virus","CPXV",NA,NA
"Ectromelia virus","ECTV",NA,NA
"Monkeypox virus","MPXV",NA,NA
"Raccoonpox virus","RCNV",NA,NA
"Skunkpox virus","SKPV",NA,NA
"Taterapox virus","TATV","GBLV",NA
"Vaccinia virus","VACV",NA,"Buffalopox virus, Cantalago virus, Rabbitpox virus Utrecht"
"Variola virus","VARV",NA,"Smallpox virus"
"Volepox virus","VPXV",NA,NA
"Bovine papular stomatitis virus","BPSV","BPSV","Bovine pustular stomatitis virus"
"Orf virus","ORFV",NA,NA
"Parapoxvirus of red deer in New Zealand","PVNZ",NA,NA
"Pseudocowpox virus","PCPV","MNV","Milker's node virus"
"Swinepox virus","SWPV",NA,NA
"Pteropox virus","PTPV",NA,NA
"Squirrelpox virus","SQPV",NA,NA
"Tanapox virus","TANV",NA,NA
"Yaba monkey tumor virus","YMTV",NA,NA
"Anomala cuprea entomopoxvirus","ACEV",NA,NA
"Aphodius tasmaniae entomopoxvirus","ATEV",NA,NA
"Demodema bonariensis entomopoxvirus","DBEV",NA,NA
"Dermolepida albohirtum entomopoxvirus","DAEV",NA,NA
"Figulus sublaevis entomopoxvirus","FSEV",NA,NA
"Geotrupes sylvaticus entomopoxvirus","GSEV",NA,NA
"Melolontha melolontha entomopoxvirus","MMEV",NA,NA
"Acrobasis zelleri entomopoxvirus","AZEV",NA,NA
"Adoxophyes honmai entomopoxvirus","AHEV",NA,NA
"Amsacta moorei entomopoxvirus","AMEV",NA,NA
"Arphia conspersa entomopoxvirus","ACOEV",NA,NA
"Choristoneura biennis entomopoxvirus","CBEV",NA,NA
"Choristoneura conflicta entomopoxvirus","CCEV",NA,NA
"Choristoneura diversuma entomopoxvirus","CDEV",NA,NA
"Choristoneura fumiferana entomopoxvirus","CFEV",NA,NA
"Choristoneura rosaceana entomopoxvirus","CREV",NA,NA
"Chorizagrotis auxiliaris entomopoxvirus","CXEV",NA,NA
"Heliothis armigera entomopoxvirus","HAEV",NA,NA
"Locusta migratoria entomopoxvirus","LMEV",NA,NA
"Mythimna separata entomopoxvirus","MySEV",NA,NA
"Oedaleus senegalensis entomopoxvirus","OSEV",NA,NA
"Operophtera brumata entomopoxvirus","OBEV",NA,NA
"Schistocerca gregaria entomopoxvirus","SGEV",NA,NA
"Aedes aegypti entomopoxvirus","AAEV",NA,NA
"Camptochironomus tentans entomopoxvirus","CTEV",NA,NA
"Chironomus attenuatus entomopoxvirus","ChAEV",NA,NA
"Chironomus luridus entomopoxvirus","CLEV",NA,NA
"Chironomus plumosus entomopoxvirus","CPEV",NA,NA
"Goeldichironomus holoprasinus entomopoxvirus","GHEV",NA,NA
"Diachasmimorpha entomopoxvirus","DlEPV",NA,NA
"Melanoplus sanguinipes entomopoxvirus 'O'","MsEPV",NA,NA
"Eriocheir sinensis reovirus","EsRV",NA,NA
"Micromonas pusilla reovirus","MpRV",NA,NA
"African horse sickness virus","AHSV",NA,NA
"Bluetongue virus","BTV",NA,NA
"Changuinola virus","CGLV","ALMV, ALTV, CANV, GURV, IRIV, JAMV, JARIV, MDOV, OURV, PURV, SRAV","Alemeirim virus, Altamira virus, Caninde virus, Gurupi virus, Irituia virus, Jamanxi virus, Jari virus, Monte dourado virus, Ourem virus, Purus virus, Saraca virus"
"Chenuda virus","CNUV","BAKUV, ESSV, HUAV, KIRV, MLV, SCV","Baku virus, Essaouira virus, Huncho virus, Kala iris virus, Mono Lake virus, Sixgun city virus"
"Chobar Gorge virus","CGV","FV","Fomede virus"
"Corriparta virus","CORV","ACDV, JACV","Acado virus, Jacareacanga virus"
"Epizootic hemorrhagic disease virus","EHDV",NA,NA
"Equine encephalosis virus","EEV",NA,NA
"Eubenangee virus","EUBV","NGOV, PATAV, TILV","Ngoupe virus, Pata virus, Tilligarry virus"
"Great Island virus","GIV","ABMV, ABRV, BAUV, BRDV, CWV, COYV, CBNV, ELLV, FOUV, GSIV, GSYV, INFV, KEMV, KENV, KHAV, LIPV, LUNV, MDNV, MDRV, MYKV, NCLV, NEDV, NUGV, OKHV, POOV, RSTV, SAHV, SHIV, THRV, TLMV, TDMV, TRBV, VAEV, WEXV, YHV","Above maiden virus, Arbroath virus, Broadhaven virus, Cape wrath virus, Colony virus, ColonyB north virus, Ellidaey virus, Foula virus, Great island virus, Great saltee island virus, Grimsey virus, Inner farne virus, Kemerovo virus, Kenai virus, Kharagysh virus, Lipovnik virus, Lundy virus, Maiden virus, Mill dorr virus, Mykines virus, North clett virus, North end virus, Nugget virus, Okhotskiy virus, Poovoot virus, Rost island virus, St abb's head virus, Shiant island virus, Thormodseyjarlettur virus, Tillamook virus, Tindholmur virus, Tribec virus, Vearoy virus, Wexford virus, Yaquina head virus"
"Ieri virus","IERIV","GMKV, ARKV","Gomoka virus, Arkonam virus"
"Lebombo virus","LEBV",NA,NA
"Orungo virus","ORUV",NA,NA
"Palyam virus","PALV","ABAV, BCV, CVGV, DAGV, GWV, KASV, KINV, MARV, NYAV, PETV, VELV","Abadina virus, Bunyip creek virus, CSIRO village virus, D'Aguilar virus, Gweru virus, Kasba virus, Kindia virus, Marrakai virus, Marondera virus, Nyabira virus, Petevo virus, Vellore virus"
"Peruvian horse sickness virus","PHSV",NA,NA
"St Croix River virus","StCRV","SCRV","St Croix River virus"
