"Species","Acronyms","Other.Acronyms","Other.Names"
"Bovine atadenovirus D","BAdV-D","BAdV-D","Bovine adenovirus-B, Bovine adenovirus-4, Bovine adenovirus-5, Bovine adenovirus-8, Bovine adenovirus-Rus"
"Duck atadenovirus A","DAdV-A","DAdV-A, DAdV-1","Duck adenovirus-A, Duck adenovirus-1"
"Lizard atadenovirus A","LiAdV-A","LiAdV-2","lizard adenovirus-2"
"Ovine atadenovirus D","OAdV-D","OAdV-D, GAdV-1, OAdV-7","Ovine adenovirus-D, Goat adenovirus-1, Ovine adenovirus-7"
"Possum atadenovirus A","PoAdV-A","PoADV-A, PoAdV-1","Possum adenovirus-A, Possum adenovirus-1"
"Psittacine atadenovirus A","PsAdV-A","PsAdV-3","Psittacine adenovirus 3"
"Snake atadenovirus A","SnAdV-A","SnAdV-A, SnAdV-1","Snake adenovirus-A, Snake adenovirus-1"
"Duck aviadenovirus B","DAdV-B","DAdV-B, DAdV-2","Duck adenovirus-B, Duck adenovirus-2"
"Falcon aviadenovirus A","FaAdv-A","FaAdV-A","Falcon adenovirus A"
"Fowl aviadenovirus A","FAdV-A","FAdV-A, FAdV-1","Fowl adenovirus-A, Fowl adenovirus-1"
"Fowl aviadenovirus B","FAdV-B","FAdV-B, FAdV-5","Fowl adenovirus-B, Fowl adenovirus-5"
"Fowl aviadenovirus C","FAdV-C","FAdV-C, FAdV-4, FAdV-10","Fowl adenovirus-C, Fowl adenovirus-4, Fowl adenovirus-10"
"Fowl aviadenovirus D","FAdV-D","FAdV-D, FAdV-2, FAdV-3, FAdV-9, FAdV-11","Fowl adenovirus-D, Fowl adenovirus-2, Fowl adenovirus-3, Fowl adenovirus-9, Fowl adenovirus-11"
"Fowl aviadenovirus E","FAdV-E","FAdV-E, FAdV-6, FAdV-7, FAdV-8a, FAdV-8b","Fowl adenovirus-E, Fowl adenovirus-6, Fowl adenovirus-7, Fowl adenovirus-8a, Fowl adenovirus-8b"
"Goose aviadenovirus A","GoAdV-A","GoAdV A, GoAdV-1, GoAdV-2, GoAdV-3","Goose adenovirus A, Goose adenovirus-1, Goose adenovirus-2, Goose adenovirus-3"
"Pigeon aviadenovirus A","PiAdV-A","PiAdV-A, PiAdV-1","Pigeon adenovirus-A, Pigeon adenovirus-1"
"Turkey aviadenovirus B","TAdV-B","TAdV-B, TAdV-1, TAdV-2","Turkey adenovirus-B, Turkey adenovirus-1, Turkey adenovirus-2"
"Turkey aviadenovirus C","TAdV-C","TAdV-C","Turkey adenovirus-C"
"Turkey aviadenovirus D","TAdV-D","TAdV-D","Turkey adenovirus-D"
"Sturgeon ichtadenovirus A","StAdV-A","StAdV-A, WSAdV-1","Sturgeon adenovirus-A, White sturgeon adenovirus-1"
"Bat mastadenovirus A","BtAdV-A","BtAdV-A","Bat Adenovirus-A"
"Bat mastadenovirus B","BtAdV-B","BtAdV-B","Bat Adenovirus-B"
"Bovine mastadenovirus A","BAdV-A","BAdV-1, BAdV-A","Bovine adenovirus-1, Bovine adenovirus-A"
"Bovine mastadenovirus B","BAdV-B","BAdV-3, BAdV-B","Bovine adenovirus-3, Bovine adenovirus-B"
"Bovine mastadenovirus C","BAdV-C","BAdV-10, BAdV-C","Bovine adenovirus-10, Bovine adenovirus-C"
"Canine mastadenovirus A","CAdV-A","CAdV-1, CAdV-2, CAdV-A","Canine adenovirus-1, Canine adenovirus-2, Canine adenovirus- A"
"Dolphin mastadenovirus A","DoAdV-A","DAdV-A","Dolphin adenovirus-A"
"Equine mastadenovirus A","EAdV-A","EAdV-1, EAdV-A","Equine adenovirus-1, Equine adenovirus-A"
"Equine mastadenovirus B","EAdV-B","EAdV-2, EAdV-B","Equine adenovirus-2, Equine adenovirus-B"
"Human mastadenovirus A","HAdV-A","HAdV-A, HAdV-12, HAdV-18, HAdV-31","Human adenovirus-A, Human adenovirus-12, Human adenovirus-18, Human adenovirus-31"
"Human mastadenovirus B","HAdV-B","HAdV-B, HAdV-3, HAdV-7, HAdV-11, HAdV-14, HAdV-16, HAdV-21, HAdV-34, HAdV-35, HAdV-50, SAdV-21","Human adenovirus-B, Human adenovirus-3, Human adenovirus-7, Human adenovirus-11, Human adenovirus-14, Human adenovirus-16, Human adenovirus-21, Human adenovirus-34, Human adenovirus-35, Human adenovirus-50, Simian adenovirus-21"
"Human mastadenovirus C","HAdV-C","HAdV-C, BAdV-9, HAdV-1, HAdV-2, HAdV-5, HAdV-6","Human adenovirus-C, Bovine adenovirus-9, Human adenovirus-1, Human adenovirus-2, Human adenovirus-5, Human adenovirus-6"
"Human mastadenovirus D","HAdV-D","HAdV-D, HAdV-8, HAdV-9, HAdV-10, HAdV-13, HAdV-15, HAdV-17, HAdV-19, HAdV-20, HAdV-22-30, HAdV-32, HAdV-33, HAdV-36-39, HAdV-42-49, HAdV-51","Human adenovirus-D, Human adenovirus-8, Human adenovirus-9, Human adenovirus-10, Human adenovirus-13, Human adenovirus-15, Human adenovirus-17, Human adenovirus-19, Human adenovirus-20, Human adenovirus-22-30, Human adenovirus-32, Human adenovirus-33, Human adenovirus-36-39, Human adenovirus-42-49, Human adenovirus-51"
"Human mastadenovirus E","HAdV-E","HAdV-E, HAdV-4, SAdV-22, SAdV-23, SAdV-24, SAdV-25","Human adenovirus-E, Human adenovirus-4, Simian adenovirus-22, Simian adenovirus-23, Simian adenovirus-24, Simian adenovirus-25"
"Human mastadenovirus F","HAdV-F","HAdV-F, HAdV-40, HAdV-41, SAdV-19","Human adenovirus-F, Human adenovirus-40, Human adenovirus-41, Simian adenovirus-19"
"Human mastadenovirus G","HAdV-G","HAdV-G","Human adenovirus-G"
"Murine mastadenovirus A","MAdV-A","MAdV-A, MAdV-1","Murine adenovirus-A, Murine adenovirus-1"
"Murine mastadenovirus B","MAdV-B","MAdV-B, MAdV-2","Murine adenovirus-B, Murine adenovirus-2"
"Murine mastadenovirus C","MAdV-C","MAdV-C","Murine adenovirus-C"
"Ovine mastadenovirus A","OMdv-A","OAdV-A, BAdV-2, OAdV-2, OAdV-3, OAdV-4, OAdV-5","Ovine adenovirus-A, Bovine adenovirus-2, Ovine adenovirus-2, Ovine adenovirus-3, Ovine adenovirus-4, Ovine adenovirus-5"
"Ovine mastadenovirus B","OMdV-B","OAdV-B, OAdV-1","Ovine adenovirus-B, Ovine adenovirus-1"
"Platyrrhini mastadenovirus A","PlMdV-A","OAdV-C","Ovine adenovirus-C"
"Porcine mastadenovirus A","PorAdV-A","PAdV-A, PAdV-1, PAdV-2, PAdV-3","Porcine adenovirus-A, Porcine adenovirus-1, Porcine adenovirus-2, Porcine adenovirus-3"
"Porcine mastadenovirus B","PAdV-B","PAdV-B, PAdV-4","Porcine adenovirus-B, Porcine adenovirus-4"
"Porcine mastadenovirus C","PAdV-C","PAdV-C, PAdV-5","Porcine adenovirus-C, Porcine adenovirus-5"
"Sea lion mastadenovirus A","SlAdV","SlAdV","Sea lion adenovirus"
"Simian mastadenovirus A","SAdV-A","SAdV-A","Simian adenovirus-A"
"Simian mastadenovirus B","SAdV-B","SAdV-B","Simian adenovirus-B"
"Simian mastadenovirus C","SAdV-C","SAdV-C","Simian adenovirus-C"
"Simian mastadenovirus D","SAdV-D","SAdV-D","Simian adenovirus-D"
"Simian mastadenovirus E","SAdV-E","SAdV-E","Simian adenovirus-E"
"Simian mastadenovirus F","SAdV-F","SAdV-F","Simian adenovirus-F"
"Simian mastadenovirus G","SAdV-G","SAdV-G","Simian adenovirus-G"
"Simian mastadenovirus H","SAdV-H","SAdV-H","Simian adenovirus-H"
"Skunk mastadenovirus A","SkAdV","SkAdV","Skunk adenovirus"
"Tree shrew mastadenovirus A","TSAdV-1","TSAdV-1","Tree shrew adenovirus-1"
"Frog siadenovirus A","FrAdV-A","FrAdV-A, FrAdV-1","Frog adenovirus-A, Frog adenovirus-1"
"Great tit siadenovirus A","GTAdV-A","GTAdV-A","Great tit adenovirus-A"
"Penguin siadenovirus A","PinAdV-A","PAdV-A, CSPAdV-2","Penguin adenovirus-A, Chinstrap penguin adenovirus-2"
"Raptor siadenovirus A","RAdV-A","RAdV-A","Raptor adenovirus-A"
"Skua siadenovirus A","SkAdV-A","SAdV-A","Skua adenovirus-A"
"Turkey siadenovirus A","TAdV-A","TAdV-A, TAdV-3, -, -, -","Turkey adenovirus-A, Turkey adenovirus-3, Avian adenovirus splenomegaly virus, Marble spleen disease virus, Turkey haemorrhagic enteritis virus"
"Ranid herpesvirus 1","RaHV-1",NA,NA
"Ranid herpesvirus 2","RaHV-2",NA,NA
"Anguillid herpesvirus 1","AngHV-1",NA,NA
"Cyprinid herpesvirus 1","CyHV-1",NA,NA
"Cyprinid herpesvirus 2","CyHV-2",NA,NA
"Cyprinid herpesvirus 3","CyHV-3",NA,NA
"Acipenserid herpesvirus 2","AcHV-2",NA,NA
"Ictalurid herpesvirus 1","IcHV-1",NA,NA
"Ictalurid herpesvirus 2","IcHV-2",NA,NA
"Salmonid herpesvirus 1","SalHV-1",NA,NA
"Salmonid herpesvirus 2","SalHV-2",NA,NA
"Salmonid herpesvirus 3","SalHV-3",NA,NA
"Torque teno virus 1","TTV-1",NA,NA
"Torque teno virus 2","TTV-2",NA,NA
"Torque teno virus 3","TTV-3",NA,NA
"Torque teno virus 4","TTV-4",NA,NA
"Torque teno virus 5","TTV-5",NA,NA
"Torque teno virus 6","TTV-6",NA,NA
"Torque teno virus 7","TTV-7",NA,NA
"Torque teno virus 8","TTV-8",NA,NA
"Torque teno virus 9","TTV-9",NA,NA
"Torque teno virus 10","TTV-10",NA,NA
"Torque teno virus 11","TTV-11",NA,NA
"Torque teno virus 12","TTV-12",NA,NA
"Torque teno virus 13","TTV-13",NA,NA
"Torque teno virus 14","TTV-14",NA,NA
"Torque teno virus 15","TTV-15",NA,NA
"Torque teno virus 16","TTV-16",NA,NA
"Torque teno virus 17","TTV-17",NA,NA
"Torque teno virus 18","TTV-18",NA,NA
"Torque teno virus 19","TTV-19",NA,NA
"Torque teno virus 20","TTV-20",NA,NA
"Torque teno virus 21","TTV-21",NA,NA
"Torque teno virus 22","TTV-22",NA,NA
"Torque teno virus 23","TTV-23",NA,NA
"Torque teno virus 24","TTV-24",NA,NA
"Torque teno virus 25","TTV-25",NA,NA
"Torque teno virus 26","TTV-26",NA,NA
"Torque teno virus 27","TTV-27",NA,NA
"Torque teno virus 28","TTV-28",NA,NA
"Torque teno virus 29","TTV-29",NA,NA
"Torque teno mini virus 1","TTMV-1",NA,NA
"Torque teno mini virus 2","TTMV-2",NA,NA
"Torque teno mini virus 3","TTMV-3",NA,NA
"Torque teno mini virus 4","TTMV-4",NA,NA
"Torque teno mini virus 5","TTMV-5",NA,NA
"Torque teno mini virus 6","TTMV-6",NA,NA
"Torque teno mini virus 7","TTMV-7",NA,NA
"Torque teno mini virus 8","TTMV-8",NA,NA
"Torque teno mini virus 9","TTMV-9",NA,NA
"Torque teno mini virus 10","TTMV-10",NA,NA
"Torque teno mini virus 11","TTMV-11",NA,NA
"Torque teno mini virus 12","TTMV-12",NA,NA
"Torque teno tupaia virus","TTTpV",NA,NA
"Torque teno tamarin virus","TTTmV",NA,NA
"Torque teno felis virus 1","TTFV-1","TTFV","Torque teno felis virus"
"Torque teno felis virus 2","TTFV-2",NA,NA
"Torque teno midi virus 1","TTMdV-1",NA,NA
"Torque teno midi virus 2","TTMdV-2",NA,NA
"Torque teno midi virus 3","TTMdV-3",NA,NA
"Torque teno midi virus 4","TTMdV-4",NA,NA
"Torque teno midi virus 5","TTMdV-5",NA,NA
"Torque teno midi virus 6","TTMdV-6",NA,NA
"Torque teno midi virus 7","TTMdV-7",NA,NA
"Torque teno midi virus 8","TTMdV-8",NA,NA
"Torque teno midi virus 9","TTMdV-9",NA,NA
"Torque teno midi virus 10","TTMdV-10",NA,NA
"Torque teno midi virus 11","TTMdV-11",NA,NA
"Torque teno midi virus 12","TTMdV-12",NA,NA
"Torque teno midi virus 13","TTMdV-13",NA,NA
"Torque teno midi virus 14","TTMdV-14",NA,NA
"Torque teno midi virus 15","TTMdV-15",NA,NA
"Chicken anemia virus","CAV",NA,NA
"Torque teno sus virus 1a","TTSV-1a",NA,NA
"Torque teno sus virus 1b","TTSV-1b",NA,NA
"Torque teno sus virus k2a","TTSV-k2a",NA,NA
"Torque teno sus virus k2b","TTSV-k2b",NA,NA
"Torque teno zalophus virus 1","TTZV-1",NA,NA
"Torque teno canis virus","TTCV",NA,NA
"Torque teno douroucouli virus","TTDV",NA,NA
"Allpahuayo mammarenavirus","ALLV","ALLV","Allpahuayo virus"
"Serra do Navio mammarenavirus","SDNMaV","AMAV","Amaparí virus, Amaparí mammarenavirus"
"Bear Canyon mammarenavirus","BCNV","BCNV","Bear canyon virus"
"Chapare mammarenavirus","CHAV","CHAV","Chapare virus"
"Cupixi mammarenavirus","CupMV","CPXV","Cupixi virus"
"Flexal mammarenavirus","FLEV","FLEV","Flexal virus"
"Gairo mammarenavirus","GAIV","GAIV","Gairo virus"
"Guanarito mammarenavirus","GTOV","GTOV","Guanarito virus"
"Ippy mammarenavirus","IPPYV","IPPYV","Ippy virus"
"Junín mammarenavirus","JUNV","JUNV","Junín virus"
"Lassa mammarenavirus","LASV","LASV","Lassa virus"
"Latino mammarenavirus","LATV","LATV","Latino virus"
"Loei River mammarenavirus","LORV","LORV","Loei River virus"
"Lujo mammarenavirus","LUJV","LUJV","Lujo virus"
"Luna mammarenavirus","LUNV","LUNV","Luna virus"
"Lunk mammarenavirus","LUKV","LUKV","Lunk virus"
"Lymphocytic choriomeningitis mammarenavirus","LCMV","LCMV","Lymphocytic choriomeningitis virus"
"Machupo mammarenavirus","MACV","MACV","Machupo virus"
"Mariental mammarenavirus","MRLV","MRLV","Mariental virus"
"Merino Walk mammarenavirus","MWV","MWV","Merino Walk virus"
"Mobala mammarenavirus","MOBV","MOBV","Mobala virus"
"Mopeia mammarenavirus","MOPV","MOPV","Mopeia virus"
"Okahandja mammarenavirus","OKAV","OKAV","Okahandja virus"
"Oliveros mammarenavirus","OLVV","OLVV","Oliveros virus"
"Paraná mammarenavirus","PARV","PARV","Paraná virus"
"Pichindé mammarenavirus","PICV","PICV","Pichindé virus"
"Pirital mammarenavirus","PIRV","PIRV","Pirital virus"
"Sabiá mammarenavirus","SABV","SABV","Sabiá virus"
"Solwezi mammarenavirus","SOLV","SOLV","Solwezi virus"
"Tacaribe mammarenavirus","TCRV","TCRV","Tacaribe virus"
"Tamiami mammarenavirus","TAMV","TAMV","Tamiani virus"
"Wenzhou mammarenavirus","WENV","WENV","Wēnzhōu virus"
"Whitewater Arroyo mammarenavirus","WWAV","WWAV","Whitewater Arroyo virus"
"Alethinophid 1 reptarenavirus","AlReV-1","GGV","Golden Gate virus"
"Alethinophid 2 reptarenavirus","AlReV-2","CASV","California Academy of Sciences virus"
"Alethinophid 3 reptarenavirus","AlReV-3","BOAV, UHV-1","Boa AV NL B3, University of Helsinki virus-1"
"Wobbly possum disease virus","WPDV",NA,NA
"Equine arteritis virus","EqAV",NA,NA
"African pouched rat arterivirus","APRAV",NA,NA
"Lactate dehydrogenase-elevating virus","LDEV",NA,NA
"Porcine reproductive and respiratory syndrome virus 1","PRRSV-1",NA,NA
"Porcine reproductive and respiratory syndrome virus 2","PRRSV-2",NA,NA
"Rat arterivirus 1","RAV-1","-","Rat arterivirus Jilin2014"
"DeBrazza’s monkey arterivirus","DMAV",NA,NA
"Free State vervet virus","FSVV",NA,NA
"Kafue kinda chacma baboon virus","KKCBV","KKCBV","Kafue kinda x chacma baboon virus"
"Kibale red colobus virus 1","KRCV-1",NA,NA
"Kibale red colobus virus 2","KRCV-2",NA,NA
"Kibale red-tailed guenon virus 1","KRTGV-1",NA,NA
"Mikumi yellow baboon virus 1","MYBV",NA,NA
"Pebjah virus","PV",NA,NA
"Simian hemorrhagic encephalitis virus","SHEV",NA,NA
"Simian hemorrhagic fever virus","SHFV","DeBMV-1, DMVV-1, KKCBV-1, KRCV-1/2, KRTGV-1/2,  MYBV-1, PBJV, SHEV, SHFV, SWBV-1","De Brazza's monkey virus 1, Drakensberg Mountain vervet virus 1, Kafue kinda-chacma baboon virus 1, Kibale red colobus virus 1/2, Kibale red-tailed guenon virus 1/2, Mikumi yellow baboon virus 1, Pebjah virus, simian hemorrhagic encephalitis virus, simian hemorrhagic fever virus, Southwest baboon virus 1."
"African swine fever virus","ASFV",NA,NA
"Avastrovirus 1","AastV-1","TAstV-1","Turkey astrovirus 1"
"Avastrovirus 2","AastV-2","ANV-1, ANV-2","Avian nephritis virus 1, Avian nephritis virus 2"
"Avastrovirus 3","AastV-3","TAstV-2, DAstV-1","Turkey astrovirus 2, Duck astrovirus"
"Mamastrovirus 1","MastV-1",NA,"Human astrovirus"
"Mamastrovirus 2","MastV-2","FAstV-1","Feline astrovirus"
"Mamastrovirus 3","MastV-3","PAstV-1","Porcine astrovirus"
"Mamastrovirus 4","MastV-4",NA,NA
"Mamastrovirus 5","MastV-5",NA,NA
"Mamastrovirus 6","MastV-6",NA,NA
"Mamastrovirus 7","MastV-7",NA,NA
"Mamastrovirus 8","MastV-8",NA,NA
"Mamastrovirus 9","MastV-9",NA,NA
"Mamastrovirus 10","MastV-10","MAstV-1","Mink astrovirus"
"Mamastrovirus 11","MastV-11",NA,NA
"Mamastrovirus 12","MastV-12",NA,NA
"Mamastrovirus 13","MastV-13","OAstV-1","Ovine astrovirus"
"Mamastrovirus 14","MastV-14",NA,NA
"Mamastrovirus 15","MastV-15",NA,NA
"Mamastrovirus 16","MastV-16",NA,NA
"Mamastrovirus 17","MastV-17",NA,NA
"Mamastrovirus 18","MastV-18",NA,NA
"Mamastrovirus 19","MastV-19",NA,NA
"Infectious pancreatic necrosis virus","IPNV",NA,NA
"Tellina virus","TV",NA,NA
"Yellowtail ascites virus","YtaV",NA,NA
"Infectious bursal disease virus","IBDV","-","Gumboro virus"
"Blotched snakehead virus","BSnV",NA,NA
"Drosophila X virus","DXV",NA,NA
"Elapid 1 bornavirus","ElBrV-1","LGSV-1, RBV-1","Loveridge's garter snake virus-1, Reptile bornavirus-1"
"Mammalian 1 bornavirus","MaBrV-1","BoDV-1, BoDV-2","Borna disease virus 1, Borna disease virus 2"
"Mammalian 2 bornavirus","MaBrV-2","VSBV-1","Variegated squirrel bornavirus 1"
"Passeriform 1 bornavirus","PaBrv-1","CnBV-1, CnBV-2, CnBV-3","Canary bornavirus 1, Canary bornavirus 2, Canary bornavirus 3"
"Passeriform 2 bornavirus","PaBrv-2","EsBV-1","Estrildid finch bornavirus-1"
"Psittaciform 1 bornavirus","PsBrV-1","PaBV-1, PaBV-2, PaBV-3, PaBV-4, PaBV-7","Parrot bornavirus 1, Parrot bornavirus 2, Parrot bornavirus 3, Parrot bornavirus 4, Parrot bornavirus 7"
"Psittaciform 2 bornavirus","PsBrV-2","PaBV-5","Parrot bornavirus 5"
"Waterbird 1 bornavirus","WaBrV-1","ABBV-1, ABBV-2","Aquatic bird bornavirus 1, Aquatic bird bornavirus 2"
"Queensland carbovirus","QuCrV","JCPV","Jungle carpet python virus"
"Southwest carbovirus","SoCrV","SWCPV","southwest carpet python virus"
"European brown hare syndrome virus","EBHSV",NA,NA
"Rabbit hemorrhagic disease virus","RHDV","RCV","Rabbit calicivirus"
"Newbury 1 virus","NbV-1",NA,NA
"Norwalk virus","NwV","NV, -, -, -, -, -, -","Norwalk virus, Desert shield virus, Hawaii virus, Lordsdale virus, Mexico virus, Snow Mountain virus, Southampton virus"
"Sapporo virus","SV",NA,NA
"Feline calicivirus","FCV",NA,NA
"Vesicular exanthema of swine virus","VESV","-, -, -, -, SMSV, SCV","Bovine calicivirus, Cetacean calicivirus, Primate calicivirus, Reptile calicivirus, San Miguel sea lion virus, Skunk calicivirus,"
"Barbel circovirus","BarCV",NA,"barbel circovirus"
"Bat associated circovirus 1","BatCV-1",NA,NA
"Bat associated circovirus 2","BatCV-2",NA,NA
"Bat associated circovirus 3","BatCV-3",NA,"Rhinolophus ferrumequinum circovirus 1"
"Bat associated circovirus 4","BatCV-4","TbCV-1","Tadarida brasiliensis circovirus 1"
"Bat associated circovirus 5","BatCV-5",NA,NA
"Bat associated circovirus 6","BatCV-6",NA,NA
"Bat associated circovirus 7","BatCV-7",NA,NA
"Bat associated circovirus 8","BatCV-8",NA,NA
"Beak and feather disease virus","BFDV",NA,NA
"Canary circovirus","CaCV",NA,NA
"Canine circovirus","CnCV","CanineCV","Canine circovirus"
"Chimpanzee associated circovirus 1","ChCV","ChfaCV, ChimpACV","Chimpanzee faeces associated circovirus, Chimpanzee associated circovirus"
"Duck circovirus","DuCV",NA,NA
"European catfish circovirus","ECCV","EcatfishCV","European catfish circovirus"
"Finch circovirus","FiCV",NA,NA
"Goose circovirus","GoCV",NA,NA
"Gull circovirus","GuCV",NA,NA
"Human associated circovirus 1","HuCV","HufaCV","Human faeces associated circovirus"
"Mink circovirus","MiCV",NA,NA
"Pigeon circovirus","PiCV",NA,NA
"Porcine circovirus 1","PCV-1",NA,NA
"Porcine circovirus 2","PCV-2",NA,NA
"Raven circovirus","RaCV",NA,NA
"Starling circovirus","StCV",NA,NA
"Swan circovirus","SwCV",NA,NA
"Zebra finch circovirus","ZfiCV",NA,NA
"Bat associated cyclovirus 1","BaCyV-1",NA,"Bat faeces associated cyclovirus 1"
"Bat associated cyclovirus 2","BaCyV-2",NA,"Bat faeces associated cyclovirus 2"
"Bat associated cyclovirus 3","BaCyV-3",NA,"Bat faeces associated cyclovirus 3"
"Bat associated cyclovirus 4","BaCyV-4",NA,"Bat faeces associated cyclovirus 4"
"Bat associated cyclovirus 5","BaCyV-5",NA,"Bat cyclovirus"
"Bat associated cyclovirus 6","BaCyV-6",NA,NA
"Bat associated cyclovirus 7","BaCyV-7",NA,NA
"Bat associated cyclovirus 8","BaCyV-8",NA,NA
"Bat associated cyclovirus 9","BaCyV-9",NA,NA
"Bat associated cyclovirus 10","BaCyV-10",NA,NA
"Bat associated cyclovirus 11","BaCyV-11",NA,NA
"Bat associated cyclovirus 12","BaCyV-12",NA,NA
"Bat associated cyclovirus 13","BaCyV-13",NA,NA
"Bat associated cyclovirus 14","BaCyV-14",NA,NA
"Bat associated cyclovirus 15","BaCyV-15",NA,NA
"Bat associated cyclovirus 16","BaCyV-16",NA,"Florida wood cockroach cyclovirus"
"Bovine associated cyclovirus 1","BoCyV-1",NA,"Bovine cyclovirus"
"Chicken associated cyclovirus 1","CkCyV-1",NA,"Gallus cyclovirus"
"Chimpanzee associated cyclovirus 1","ChCyV-1",NA,"Chimpanzee faeces associated cyclovirus"
"Cockroach associated cyclovirus 1","CoCyV-1",NA,NA
"Dragonfly associated cyclovirus 1","DrCyV-1",NA,"Dragonfly cyclovirus 1"
"Dragonfly associated cyclovirus 2","DrCyV-2",NA,"Dragonfly cyclovirus 2"
"Dragonfly associated cyclovirus 3","DrCyV-3",NA,"Dragonfly cyclovirus 3"
"Dragonfly associated cyclovirus 4","DrCyV-4",NA,"Dragonfly cyclovirus 4"
"Dragonfly associated cyclovirus 5","DrCyV-5",NA,"Dragonfly cyclovirus 5"
"Dragonfly associated cyclovirus 6","DrCyV-6",NA,"Dragonfly cyclovirus 6"
"Dragonfly associated cyclovirus 7","DrCyV-7",NA,"Dragonfly cyclovirus 7"
"Dragonfly associated cyclovirus 8","DrCyV-8",NA,"Dragonfly cyclovirus 8"
"Feline associated cyclovirus 1","FeCyV-1",NA,NA
"Goat associated cyclovirus 1","GoCyV-1",NA,"Goat cyclovirus"
"Horse associated cyclovirus 1","HoCyV-1",NA,NA
"Human associated cyclovirus 1","HuCyV-1",NA,"Human faeces associated cyclovirus 1"
"Human associated cyclovirus 2","HuCyV-2",NA,"Human faeces associated cyclovirus 2"
"Human associated cyclovirus 3","HuCyV-3",NA,"Human faeces associated cyclovirus 3"
"Human associated cyclovirus 4","HuCyV-4",NA,"Human faeces associated cyclovirus 4"
"Human associated cyclovirus 5","HuCyV-5",NA,"Human faeces associated cyclovirus 5"
"Human associated cyclovirus 6","HuCyV-6",NA,"Human faeces associated cyclovirus 6"
"Human associated cyclovirus 7","HuCyV-7",NA,"Human faeces associated cyclovirus 8"
"Human associated cyclovirus 8","HuCyV-8",NA,"Human cyclovirus 1"
"Human associated cyclovirus 9","HuCyV-9",NA,"Human cyclovirus 2"
"Human associated cyclovirus 10","HuCyV-10",NA,"Human cyclovirus 3"
"Human associated cyclovirus 11","HuCyV-11",NA,NA
"Squirrel associated cyclovirus 1","SqCyV-1",NA,NA
"Alphacoronavirus 1","AlCoV-1",NA,NA
"Bat coronavirus CDPHE15","BaCoV-CDPHE15",NA,NA
"Bat coronavirus HKU10","BaCoV-HKU10",NA,NA
"Human coronavirus 229E","HCoV-229E",NA,NA
"Human coronavirus NL63","HCoV-NL63",NA,NA
"Miniopterus bat coronavirus 1","MBCoV-1",NA,NA
"Miniopterus bat coronavirus HKU8","MBCoV-HKU8",NA,NA
"Mink coronavirus 1","MiCoV-1",NA,NA
"Porcine epidemic diarrhea virus","PEDV",NA,NA
"Rhinolophus bat coronavirus HKU2","RBCoV-HKU2",NA,NA
"Scotophilus bat coronavirus 512","SBCoV-512",NA,NA
"Betacoronavirus 1","BeCoV-1","HCoV-OC43, BCoV,  HECoV, PHEV, ECoV, CrCoV","Human coronavirus OC-43, Bovine coronavirus, Human enteric coronavirus, Porcine hemagglutinating encephalomyelitis virus, Equine coronavirus, Canine respiratory coronavirus"
"Hedgehog coronavirus 1","HeCoV-1",NA,NA
"Human coronavirus HKU1","HuCoV-HKU1",NA,NA
"Middle East respiratory syndrome-related coronavirus","MERS-CoV",NA,NA
"Murine coronavirus","MuCoV",NA,NA
"Pipistrellus bat coronavirus HKU5","PBCoV-HKU5",NA,NA
"Rousettus bat coronavirus HKU9","RBCoV-HKU9",NA,NA
"Severe acute respiratory syndrome-related coronavirus","SARS-CoV",NA,NA
"Tylonycteris bat coronavirus HKU4","TyCov-HKU4",NA,NA
"Bulbul coronavirus HKU11","BuCoV-HKU11",NA,NA
"Common moorhen coronavirus HKU21","CMCoV-HKU21",NA,NA
"Coronavirus HKU15","CoV-HKU15",NA,NA
"Munia coronavirus HKU13","MuCoV-HKU13",NA,NA
"Night heron coronavirus HKU19","NHCoV-HKU19",NA,NA
"Thrush coronavirus HKU12","ThCoV-HKU12",NA,NA
"White-eye coronavirus HKU16","WeCoV-HKU16",NA,NA
"Wigeon coronavirus HKU20","WiCoV-HKU20",NA,NA
"Avian coronavirus","AvCoV","IBV","Infectious bronchitis virus"
"Beluga whale coronavirus SW1","BWCoV-SW1",NA,NA
"Fathead minnow nidovirus 1","FMNV-1",NA,NA
"White bream virus","WBV",NA,NA
"Bovine torovirus","BoToV",NA,NA
"Equine torovirus","EqToV",NA,NA
"Human torovirus","HuToV",NA,NA
"Porcine torovirus","PoToV",NA,NA
"Ball python nidovirus 1","BPNV-1",NA,NA
"Bovine nidovirus 1","BoNV-1",NA,NA
"Chinook salmon nidovirus 1","CSNV-1",NA,NA
"Lloviu cuevavirus","LLOV",NA,NA
"Bundibugyo ebolavirus","BDBV",NA,NA
"Reston ebolavirus","RESTV",NA,NA
"Sudan ebolavirus","SUDV",NA,NA
"Taï Forest ebolavirus","TAFV",NA,NA
"Zaire ebolavirus","ZEBOV",NA,NA
"Marburg marburgvirus","MARV",NA,NA
"Apoi virus","ApoiV",NA,NA
"Aroa virus","AroaV","BSQV, IGUV, NJLV","Bussuquara virus, Iguape virus, Naranjal virus"
"Bagaza virus","BagV",NA,NA
"Banzi virus","BanV",NA,NA
"Bouboui virus","BouV",NA,NA
"Bukalasa bat virus","BBV",NA,NA
"Cacipacore virus","CpcV",NA,NA
"Carey Island virus","CIV",NA,NA
"Cowbone Ridge virus","CRV",NA,NA
