"Species","Taxon.History.URL.ICTV"
"Human betaherpesvirus 5","ICTVonline=202101462"
"Macacine betaherpesvirus 3","ICTVonline=202101463"
"Macacine betaherpesvirus 8","ICTVonline=202106399"
"Mandrilline betaherpesvirus 1","ICTVonline=202106400"
"Panine betaherpesvirus 2","ICTVonline=202101464"
"Papiine betaherpesvirus 3","ICTVonline=202101465"
"Papiine betaherpesvirus 4","ICTVonline=202106401"
"Saimiriine betaherpesvirus 4","ICTVonline=202101466"
"Murid betaherpesvirus 1","ICTVonline=202101468"
"Murid betaherpesvirus 2","ICTVonline=202101469"
"Murid betaherpesvirus 8","ICTVonline=202101470"
"Elephantid betaherpesvirus 1","ICTVonline=202101472"
"Elephantid betaherpesvirus 4","ICTVonline=202106404"
"Elephantid betaherpesvirus 5","ICTVonline=202106405"
"Caviid betaherpesvirus 2","ICTVonline=202101478"
"Miniopterid betaherpesvirus 1","ICTVonline=202109145"
"Tupaiid betaherpesvirus 1","ICTVonline=202101480"
"Human betaherpesvirus 7","ICTVonline=202101474"
"Human betaherpesvirus 6A","ICTVonline=202101475"
"Human betaherpesvirus 6B","ICTVonline=202101476"
"Macacine betaherpesvirus 9","ICTVonline=202106402"
"Murid betaherpesvirus 3","ICTVonline=202106403"
"Suid betaherpesvirus 2","ICTVonline=202101479"
"Delphinid gammaherpesvirus 1","ICTVonline=202109147"
"Callitrichine gammaherpesvirus 3","ICTVonline=202101483"
"Cercopithecine gammaherpesvirus 14","ICTVonline=202101484"
"Gorilline gammaherpesvirus 1","ICTVonline=202101485"
"Human gammaherpesvirus 4","ICTVonline=202101486"
"Macacine gammaherpesvirus 4","ICTVonline=202101487"
"Macacine gammaherpesvirus 10","ICTVonline=202106406"
"Panine gammaherpesvirus 1","ICTVonline=202101488"
"Papiine gammaherpesvirus 1","ICTVonline=202101489"
"Pongine gammaherpesvirus 2","ICTVonline=202101490"
"Alcelaphine gammaherpesvirus 1","ICTVonline=202101492"
"Alcelaphine gammaherpesvirus 2","ICTVonline=202101493"
"Bovine gammaherpesvirus 6","ICTVonline=202101494"
"Caprine gammaherpesvirus 2","ICTVonline=202101495"
"Hippotragine gammaherpesvirus 1","ICTVonline=202101496"
"Ovine gammaherpesvirus 2","ICTVonline=202101497"
"Suid gammaherpesvirus 3","ICTVonline=202101498"
"Suid gammaherpesvirus 4","ICTVonline=202101499"
"Suid gammaherpesvirus 5","ICTVonline=202101500"
"Phascolarctid gammaherpesvirus 1","ICTVonline=202109151"
"Vombatid gammaherpesvirus 1","ICTVonline=202109152"
"Vespertilionid gammaherpesvirus 3","ICTVonline=202109149"
"Equid gammaherpesvirus 2","ICTVonline=202101502"
"Equid gammaherpesvirus 5","ICTVonline=202101503"
"Felid gammaherpesvirus 1","ICTVonline=202106410"
"Mustelid gammaherpesvirus 1","ICTVonline=202101504"
"Phocid gammaherpesvirus 3","ICTVonline=202106411"
"Vespertilionid gammaherpesvirus 1","ICTVonline=202106412"
"Ateline gammaherpesvirus 2","ICTVonline=202101506"
"Ateline gammaherpesvirus 3","ICTVonline=202101507"
"Bovine gammaherpesvirus 4","ICTVonline=202101508"
"Cricetid gammaherpesvirus 2","ICTVonline=202101509"
"Human gammaherpesvirus 8","ICTVonline=202101510"
"Macacine gammaherpesvirus 5","ICTVonline=202101511"
"Macacine gammaherpesvirus 8","ICTVonline=202106407"
"Macacine gammaherpesvirus 11","ICTVonline=202106408"
"Macacine gammaherpesvirus 12","ICTVonline=202106409"
